Asset,Asset Category,Type,Qty.,LTP,Present value
BANDHAN SMALL CAP FUND - DIRECT PLAN,Equity,Mutual fund,25332.684,52.5,1329965.91
Bank - Axis,Cash,Cash,"1,540,248.00",1,1540248
Bank - HDFC HUF,Cash,Cash,0.00,1,0
Bank - Kotak,Cash,Cash,0.00,1,0
BHARTIARTL,Equity,Stock,103,1891,194773
BIRET-RR,Real Estate,Stock,"2,847.00",325.47,926613.09
CGPOWER,Equity,Stock,322.00,813.9,262075.8
Credit Card Liabilities AMEX,Cash,Cash,0.00,-1,0
Credit Card Liabilities HDFC,Cash,Cash,0.00,-1,0
Credit Card Liabilities HSBC,Cash,Cash,0.00,-1.00,0
Credit Card Liabilities IDFC,Cash,Cash,0.00,-1.00,0
Divya Bonds,Debt,Bond,80000,1.00,80000
Divya EPF,Debt,Providend fund,240000,1.00,240000
Divya LIC,Debt,LIC,2503108,1.00,2503108.425
Divya NPS,Equity,NPS,615571,1.00,615571.42
EMBASSY-RR,Real Estate,Stock,1423,424.66,604291.18
Gold Akshay Tritiya 2025,Gold,Bond,20,15046.3,300925.2
Gold Physical - Mom,Gold,Bond,45,15046.3,677081.7
GOLDBEES,Gold,ETF,842,123.33,103843.86
HDFCBANK,Equity,Stock,418,774.75,323845.5
HINDUNILVR,Equity,Stock,25,2254,56350
ICICI PRUDENTIAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,Equity,Mutual fund,69094.064,22.43,1549779.856
ICICI PRUDENTIAL NIFTY 50 INDEX FUND - DIRECT PLAN,Equity,Mutual fund,"3,444.72",254.13,875405.9312
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,Equity,Mutual fund,"3,386.54",65.49,221784.1772
JUNIORBEES,Equity,ETF,2578,753.51,1942548.78
KRT-RR,Real Estate,Stock,5401,119.15,643529.15
MIDCAPETF,Equity,ETF,137487,22.50,3093457.5
MIRAE ASSET ELSS TAX SAVER FUND - DIRECT PLAN,Equity,Mutual fund,3332.153,55.35,184434.6686
MIRAE ASSET LARGE & MIDCAP FUND - DIRECT PLAN,Equity,Mutual fund,2329.984,171.22,398939.8605
MON100,Equity,ETF,3274,299.17,979482.58
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,Equity,Mutual fund,11650.916,63.57,740648.7301
NIFTYBEES,Equity,ETF,"17,567.00",272.9,4794034.3
NIPPON INDIA SMALL CAP FUND - DIRECT PLAN,Equity,Mutual fund,454.587,193.13,87794.38731
CPSX,Equity,ETF,0.04,74120.35498,2964.814199
NVDA,Equity,Stock,1.00,18834.98873,18834.98873
Parag Parikh Arbitrage Fund,Debt,Mutual fund,"256,283.59",11.87,3042086.237
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,Equity,Mutual fund,"28,965.19",91.4,2647418.366
PPF,Debt,Providend fund,2840800,1.00,2840800
QQQ,Equity,ETF,23.00,63986.76089,1471695.5
Rental ,Debt,Cash,200000,1.00,200000
Saurabh EPF,Debt,Providend fund,2801510,1.00,2801510
Saurabh Gold ring (Paid 66000),Gold,Bond,4,15046.3,60185.04
Gold Akshay Tritiya 2026 (Ring+Chain Divya) Paid ,Gold,Bond,7.17525,15046.3,107960.6771
Saurabh LIC,Debt,LIC,156000,1.00,156000
Saurabh NPS,Equity,NPS,1129059,1.00,1129059.33
SGBJAN29X-GB,Gold,Bond,43,15046.3,646989.18
SGBJAN30IX-GB,Gold,Bond,12,15046.3,180555.12
SGBJUN29II-GB ,Gold,Bond,8,15046.3,120370.08
SGBJUN30-GB,Gold,Bond,1,15046.3,15046.26
SGBJUN31I-GB,Gold,Bond,23,15046.3,346063.98
SGBJUN31II-GB,Gold,Bond,87,15046.3,1309024.62
SGBMAR30X-GB,Gold,Bond,30,15046.3,451387.8
SGBMAY29I-GB ,Gold,Bond,2,15046.3,30092.52
SGBN28VIII-GB,Gold,Bond,19,15046.3,285878.94
SGBSEP28VI-GB,Gold,Bond,8,15046.3,120370.08
SGBSEP29VI-GB,Gold,Bond,5,15046.3,75231.3
SGBSEP31II-GB,Gold,Bond,115,15046.3,1730319.9
Upstox ESOPs,Equity,Esops,48,30000,1440000
UTI NIFTY 50 INDEX FUND - DIRECT PLAN,Equity,Mutual fund,4839.378,169.03,818000.0633
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,Equity,Mutual fund,"338,172.99",14.04,4747948.822
