symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,10.000000,4944.000000,77304664,1300000012686419,2022-11-15T12:15:02
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,2.000000,4944.000000,77305534,1300000012693321,2022-11-15T12:15:09
SGBJAN30IX,IN0020210236,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4919.000000,77313976,1300000012751594,2022-11-15T12:16:14
SGBJAN30IX,IN0020210236,2022-11-15,NSE,EQ,GB,buy,false,11.000000,4919.000000,77315512,1300000012761618,2022-11-15T12:16:27
SGBJAN29X,IN0020200385,2022-11-15,NSE,EQ,GB,buy,false,20.000000,4945.000000,77355559,1300000012955767,2022-11-15T12:20:26
SGBJAN29X,IN0020200385,2022-11-15,NSE,EQ,GB,buy,false,4.000000,4945.000000,77355558,1300000012955767,2022-11-15T12:20:26
SGBJAN29X,IN0020200385,2022-11-15,NSE,EQ,GB,buy,false,19.000000,4945.000000,77355560,1300000012955767,2022-11-15T12:20:26
SGBN28VIII,IN0020200286,2022-11-15,NSE,EQ,GB,buy,false,3.000000,4978.000000,77379490,1300000013092477,2022-11-15T12:23:08
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4943.990234,77387862,1300000013147215,2022-11-15T12:24:07
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4943.990234,77389616,1300000013160448,2022-11-15T12:24:23
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4943.990234,77390052,1300000013164979,2022-11-15T12:24:26
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4943.990234,77390457,1300000013168514,2022-11-15T12:24:30
SGBN28VIII,IN0020200286,2022-11-15,NSE,EQ,GB,buy,false,3.000000,4978.000000,77466320,1300000013591399,2022-11-15T12:32:22
SGBN28VIII,IN0020200286,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4979.000000,77469001,1300000013607781,2022-11-15T12:32:39
SGBN28VIII,IN0020200286,2022-11-15,NSE,EQ,GB,buy,false,10.000000,4979.000000,77469002,1300000013607781,2022-11-15T12:32:39
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,2.000000,4945.450195,77485046,1300000013700740,2022-11-15T12:34:04
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4945.450195,77486221,1300000013706388,2022-11-15T12:34:10
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,2.000000,4945.450195,77486816,1300000013710123,2022-11-15T12:34:14
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4945.450195,77487403,1300000013714726,2022-11-15T12:34:18
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4945.450195,77488398,1300000013720231,2022-11-15T12:34:25
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4945.450195,77488855,1300000013723324,2022-11-15T12:34:29
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4945.450195,77489501,1300000013726571,2022-11-15T12:34:33
SGBMAR30X,IN0020210319,2022-11-15,NSE,EQ,GB,buy,false,2.000000,4945.450195,77492602,1300000013744990,2022-11-15T12:34:54
SGBJUN30,IN0020220045,2022-11-15,NSE,EQ,GB,buy,false,1.000000,4998.899902,77519802,1300000013919094,2022-11-15T12:38:07
TCS,INE467B01029,2022-11-15,NSE,EQ,EQ,sell,false,6.000000,3309.800049,77857052,1300000015928575,2022-11-15T13:18:44
TCS,INE467B01029,2022-11-15,NSE,EQ,EQ,sell,false,14.000000,3309.800049,77857053,1300000015928575,2022-11-15T13:18:44
NIFTYBEES,INF204KB14I2,2022-11-15,BSE,EQ,B,buy,false,280.000000,200.429993,1595700,1668497115576059824,2022-11-15T13:22:57
SGBMAR30X,IN0020210319,2022-11-17,NSE,EQ,GB,buy,false,2.000000,4944.939941,78981736,1300000020923451,2022-11-17T15:08:23
SGBMAR30X,IN0020210319,2022-11-17,NSE,EQ,GB,buy,false,1.000000,4944.939941,78983673,1300000020944436,2022-11-17T15:08:31
GOLDBEES,INF204KB17I5,2022-11-17,NSE,EQ,EQ,buy,false,1.000000,45.189999,29151825,1100000021811721,2022-11-17T15:11:27
