symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-04-15,BSE,MF,,buy,false,22446.574000,11.137000,1788319921,1788319921,2025-04-15T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-04-15,BSE,MF,,buy,false,585.388000,85.409100,1788319656,1788319656,2025-04-15T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2025-10-13,BSE,MF,,buy,false,8723.664000,11.462500,2175076946,2175076946,2025-10-13T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2025-11-03,BSE,MF,,sell,false,2175.842000,11.498600,2210256045,2210256045,2025-11-03T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2025-11-10,BSE,MF,,buy,false,265.728000,94.076500,2236081849,2236081849,2025-11-10T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2025-12-01,BSE,MF,,sell,false,2164.389000,11.560100,2285919061,2285919061,2025-12-01T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2025-12-05,BSE,MF,,buy,false,262.119000,95.371800,2296283862,2296283862,2025-12-05T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2026-01-01,BSE,MF,,sell,false,2151.148000,11.621600,2361046929,2361046929,2026-01-01T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2026-01-07,BSE,MF,,buy,false,262.608000,95.194200,2379921986,2379921986,2026-01-07T00:00:00
ICICI PRUDENTIAL NASDAQ 100 INDEX FUND - DIRECT PLAN - GROWTH,INF109KC1U50,2026-01-30,BSE,MF,,buy,false,9786.736000,20.434800,2433633153,2433633153,2026-01-30T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2026-02-02,BSE,MF,,sell,false,2138.360000,11.693000,2436447942,2436447942,2026-02-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2026-02-06,BSE,MF,,buy,false,266.536000,93.791100,2459371285,2459371285,2026-02-06T00:00:00
PARAG PARIKH ARBITRAGE FUND-DIRECT PLAN-GROWTH,INF879O01225,2026-03-02,BSE,MF,,sell,false,2128.601000,11.751400,2514033965,2514033965,2026-03-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2026-03-09,BSE,MF,,buy,false,278.472000,89.771300,2540022910,2540022910,2026-03-09T00:00:00
