symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2023-07-20,NSE,EQ,EQ,buy,false,179.000000,217.750000,42188885,1200000013195602,2023-07-20T11:35:25
NIFTYBEES,INF204KB14I2,2023-07-20,NSE,EQ,EQ,buy,false,10.000000,217.740005,42188884,1200000013195602,2023-07-20T11:35:25
NIFTYBEES,INF204KB14I2,2023-07-20,NSE,EQ,EQ,buy,false,469.000000,217.740005,42188883,1200000013195602,2023-07-20T11:35:25
MAM150ETF,INF769K01IC9,2023-07-20,NSE,EQ,EQ,buy,false,1.000000,13.900000,42197391,1200000013249381,2023-07-20T11:36:16
MAM150ETF,INF769K01IC9,2023-07-20,NSE,EQ,EQ,buy,false,1001.000000,13.900000,42197392,1200000013249381,2023-07-20T11:36:16
MAM150ETF,INF769K01IC9,2023-07-20,NSE,EQ,EQ,buy,false,1803.000000,13.890000,42197390,1200000013249381,2023-07-20T11:36:16
MON100,INF247L01AP3,2023-07-20,NSE,EQ,EQ,buy,false,4.000000,125.529999,42200436,1200000013271369,2023-07-20T11:36:35
MON100,INF247L01AP3,2023-07-20,NSE,EQ,EQ,buy,false,196.000000,125.519997,42200435,1200000013271369,2023-07-20T11:36:35
SGBSEP28VI,IN0020200195,2023-07-20,NSE,EQ,GB,buy,false,1.000000,5897.899902,62537807,1300000013089401,2023-07-20T11:40:04
SGBSEP28VI,IN0020200195,2023-07-20,NSE,EQ,GB,buy,false,4.000000,5880.000000,62537804,1300000013089401,2023-07-20T11:40:04
SGBSEP28VI,IN0020200195,2023-07-20,NSE,EQ,GB,buy,false,1.000000,5881.000000,62537805,1300000013089401,2023-07-20T11:40:04
SGBSEP28VI,IN0020200195,2023-07-20,NSE,EQ,GB,buy,false,2.000000,5897.000000,62537806,1300000013089401,2023-07-20T11:40:04
NIFTYBEES,INF204KB14I2,2023-08-02,BSE,EQ,B,buy,false,409.000000,215.100006,7943700,1690961214188689158,2023-08-02T15:07:13
MON100,INF247L01AP3,2023-08-02,BSE,EQ,E,buy,false,130.000000,124.550003,633100,1690947900034021392,2023-08-02T15:07:40
MAM150ETF,INF769K01IC9,2023-08-02,BSE,EQ,B,buy,false,1710.000000,14.110000,8006700,1690961214188665442,2023-08-02T15:08:20
SGBSEP29VI,IN0020210145,2023-08-02,NSE,EQ,GB,buy,false,5.000000,5886.990234,67283958,1300000036597510,2023-08-02T15:11:30
MIDCAPETF,INF769K01IC9,2023-10-04,NSE,EQ,EQ,buy,false,2.000000,15.180000,42755203,1200000015077187,2023-10-04T11:12:54
MIDCAPETF,INF769K01IC9,2023-10-04,NSE,EQ,EQ,buy,false,20.000000,15.180000,42764011,1200000015077187,2023-10-04T11:13:36
MIDCAPETF,INF769K01IC9,2023-10-04,NSE,EQ,EQ,buy,false,23.000000,15.180000,42899896,1200000015077187,2023-10-04T11:23:23
MIDCAPETF,INF769K01IC9,2023-10-04,NSE,EQ,EQ,buy,false,13130.000000,15.180000,42931559,1200000015077187,2023-10-04T11:25:40
MON100,INF247L01AP3,2023-10-04,NSE,EQ,EQ,buy,false,558.000000,118.400002,43856942,1200000023650927,2023-10-04T12:19:44
MIDCAPETF,INF769K01IC9,2023-11-03,NSE,EQ,EQ,buy,false,180.000000,14.950000,43167687,1200000020372670,2023-11-03T12:29:51
MIDCAPETF,INF769K01IC9,2023-11-03,NSE,EQ,EQ,buy,false,7560.000000,14.950000,43167688,1200000020372670,2023-11-03T12:29:51
MIDCAPETF,INF769K01IC9,2023-11-03,NSE,EQ,EQ,buy,false,114.000000,14.940000,43167686,1200000020372670,2023-11-03T12:29:51
MON100,INF247L01AP3,2023-11-03,NSE,EQ,EQ,buy,false,382.000000,120.800003,43179881,1200000020443138,2023-11-03T12:30:49
MON100,INF247L01AP3,2023-11-03,NSE,EQ,EQ,buy,false,90.000000,120.800003,43179880,1200000020443138,2023-11-03T12:30:49
MON100,INF247L01AP3,2023-11-03,NSE,EQ,EQ,buy,false,500.000000,120.800003,43179879,1200000020443138,2023-11-03T12:30:49
MIDCAPETF,INF769K01IC9,2023-11-30,BSE,EQ,B,sell,false,3127.000000,16.070000,4370100,1701336743834015373,2023-11-30T15:11:36
MIDCAPETF,INF769K01IC9,2023-11-30,BSE,EQ,B,sell,false,20054.000000,16.040001,4370900,1701336743834015373,2023-11-30T15:11:36
MIDCAPETF,INF769K01IC9,2023-11-30,BSE,EQ,B,sell,false,2063.000000,16.049999,4370600,1701336743834015373,2023-11-30T15:11:36
MIDCAPETF,INF769K01IC9,2023-11-30,BSE,EQ,B,sell,false,300.000000,16.059999,4370300,1701336743834015373,2023-11-30T15:11:36
