symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
LIQUIDCASE,INF0R8F01034,2025-08-01,NSE,EQ,EQ,buy,false,357.000000,109.790001,403399366,1200000035690672,2025-08-01T11:28:14
LIQUIDCASE,INF0R8F01034,2025-08-01,NSE,EQ,EQ,buy,false,33.000000,109.779999,403399365,1200000035690672,2025-08-01T11:28:14
LIQUIDCASE,INF0R8F01034,2025-08-04,NSE,EQ,EQ,buy,false,388.000000,109.800003,403962919,1200000043160915,2025-08-04T12:13:26
LIQUIDCASE,INF0R8F01034,2025-08-18,BSE,EQ,F,sell,false,750.000000,110.010002,71000,1755488700012189386,2025-08-18T09:44:01
LIQUIDCASE,INF0R8F01034,2025-08-18,BSE,EQ,F,sell,false,28.000000,110.000000,71200,1755488700012189386,2025-08-18T09:44:01
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910177,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910175,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910164,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910183,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910166,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910170,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910181,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910176,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910178,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910163,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910168,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910188,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910179,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,99.000000,422.679993,203911931,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910165,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,1.000000,422.679993,203910182,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910187,1100000038930934,2025-10-15T11:54:44
EMBASSY,INE041025011,2025-10-15,NSE,EQ,RR,buy,false,7.000000,422.679993,203910189,1100000038930934,2025-10-15T11:54:44
