symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2025-04-02,BSE,MF,,buy,false,46040.041000,12.597100,1762501605,1762501605,2025-04-02T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-04-07,BSE,MF,,buy,false,62982.175000,11.113700,1768330397,1768330397,2025-04-07T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-04-24,BSE,MF,,buy,false,98611.746000,11.154300,1805887625,1805887625,2025-04-24T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-04-24,BSE,MF,,buy,false,6938.860000,11.154300,1805894631,1805894631,2025-04-24T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-05-02,BSE,MF,,buy,false,26845.737000,11.174400,1814621884,1814621884,2025-05-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-02,BSE,MF,,buy,false,715.998000,87.984700,1814631246,1814631246,2025-05-02T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-02,BSE,MF,,buy,false,2273.009000,87.984700,1814625663,1814625663,2025-05-02T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2025-05-02,BSE,MF,,buy,false,7675.863000,13.027200,1814624049,1814624049,2025-05-02T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-05-08,BSE,MF,,sell,false,4473.552000,11.189300,1836826193,1836826193,2025-05-08T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-05-15,BSE,MF,,sell,false,4470.672000,11.189100,1853951562,1853951562,2025-05-15T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-15,BSE,MF,,buy,false,555.552000,89.996000,1849430513,1849430513,2025-05-15T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-21,BSE,MF,,buy,false,556.358000,89.865700,1861009896,1861009896,2025-05-21T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-05-22,BSE,MF,,sell,false,4463.528000,11.195800,1863665005,1863665005,2025-05-22T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-27,BSE,MF,,buy,false,554.705000,90.133500,1870724542,1870724542,2025-05-27T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-05-28,BSE,MF,,buy,false,912.638000,89.844900,1872917344,1872917344,2025-05-28T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-05-29,BSE,MF,,sell,false,4460.183000,11.206800,1873580090,1873580090,2025-05-29T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-06-02,BSE,MF,,buy,false,300.044000,89.982300,1875500979,1875500979,2025-06-02T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-06-03,BSE,MF,,sell,false,26740.000000,11.217400,1884507151,1884507151,2025-06-03T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-06-03,BSE,MF,,buy,false,558.818000,89.470100,1884385590,1884385590,2025-06-03T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-06-05,BSE,MF,,sell,false,4455.772000,11.227000,1892768549,1892768549,2025-06-05T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-06-06,BSE,MF,,buy,false,1093.994000,91.403600,1894596263,1894596263,2025-06-06T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-06-06,BSE,MF,,buy,false,1093.994000,91.403600,1894596467,1894596467,2025-06-06T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2025-06-06,BSE,MF,,buy,false,1093.994000,91.403600,1894596340,1894596340,2025-06-06T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2025-07-02,BSE,MF,,buy,false,3891.007000,51.398000,1945437243,1945437243,2025-07-02T00:00:00
BANDHAN SMALL CAP FUND - DIRECT PLAN,INF194KB1AL4,2025-07-02,BSE,MF,,buy,false,3028.507000,51.398000,1945439145,1945439145,2025-07-02T00:00:00
