symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-04-04,BSE,MF,,buy,false,67573.963000,12.027700,1101288918,1101288918,2024-04-04T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-05-02,BSE,MF,,buy,false,33961.333000,12.307500,1138952779,1138952779,2024-05-02T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-05-03,BSE,MF,,buy,false,40832.952000,12.244400,1145499623,1145499623,2024-05-03T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-05-13,BSE,MF,,buy,false,7491.384000,12.013200,1161881878,1161881878,2024-05-13T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-07-03,BSE,MF,,buy,false,27583.191000,13.485800,1239315880,1239315880,2024-07-03T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-07-15,BSE,MF,,buy,false,5833.121000,13.714100,1262101906,1262101906,2024-07-15T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2024-08-05,BSE,MF,,buy,false,147116.652000,10.603300,1292412214,1292412214,2024-08-05T00:00:00
PARAG PARIKH DYNAMIC ASSET ALLOCATION FUND - DIRECT PLAN,INF879O01266,2024-08-05,BSE,MF,,buy,false,37443.247000,10.682300,1292413324,1292413324,2024-08-05T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-08-05,BSE,MF,,buy,false,32278.245000,13.321000,1292408216,1292408216,2024-08-05T00:00:00
PARAG PARIKH DYNAMIC ASSET ALLOCATION FUND - DIRECT PLAN,INF879O01266,2024-09-02,BSE,MF,,buy,false,24839.693000,10.828900,1339104610,1339104610,2024-09-02T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-09-02,BSE,MF,,buy,false,10324.472000,14.043600,1339104912,1339104912,2024-09-02T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2024-11-04,BSE,MF,,buy,false,7.515000,13.306100,1466763312,1466763312,2024-11-04T00:00:00
EDELWEISS US TECHNOLOGY EQUITY FUND OF FUND - DIRECT PLAN,INF754K01LB7,2024-12-18,BSE,MF,,buy,false,58614.121000,29.001800,1556881881,1556881881,2024-12-18T00:00:00
EDELWEISS US TECHNOLOGY EQUITY FUND OF FUND - DIRECT PLAN,INF754K01LB7,2024-12-19,BSE,MF,,buy,false,21459.152000,27.958700,1558289044,1558289044,2024-12-19T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-01-01,BSE,MF,,sell,false,45917.000000,10.904000,1575400580,1575400580,2025-01-01T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-01-27,BSE,MF,,buy,false,45653.778000,10.962400,1628707505,1628707505,2025-01-27T00:00:00
PARAG PARIKH ARBITRAGE FUND - DIRECT PLAN,INF879O01225,2025-02-11,BSE,MF,,buy,false,29566.824000,10.991500,1668364058,1668364058,2025-02-11T00:00:00
ZERODHA NIFTY LARGEMIDCAP 250 INDEX FUND - DIRECT PLAN,INF0R8F01018,2025-03-03,BSE,MF,,buy,false,28170.084000,11.762600,1706405671,1706405671,2025-03-03T00:00:00
EDELWEISS US TECHNOLOGY EQUITY FUND OF FUND - DIRECT PLAN,INF754K01LB7,2025-03-26,BSE,MF,,sell,false,80073.273000,26.069800,1749872873,1749872873,2025-03-26T00:00:00
