symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2023-04-05,NSE,EQ,EQ,buy,false,525.000000,191.100006,51056860,1200000005567833,2023-04-05T10:04:02
JUNIORBEES,INF732E01045,2023-04-05,NSE,EQ,EQ,buy,false,74.000000,401.720001,51062800,1200000005608124,2023-04-05T10:04:31
JUNIORBEES,INF732E01045,2023-04-05,NSE,EQ,EQ,buy,false,1.000000,401.709991,51062799,1200000005608124,2023-04-05T10:04:31
MON100,INF247L01AP3,2023-04-05,NSE,EQ,EQ,buy,false,160.000000,104.339996,51064732,1200000005622791,2023-04-05T10:04:40
GOLDBEES,INF204KB17I5,2023-04-05,NSE,EQ,EQ,buy,false,325.000000,52.049999,25991590,1100000005547955,2023-04-05T10:05:09
NIFTYBEES,INF204KB14I2,2023-04-17,NSE,EQ,EQ,buy,false,268.000000,193.320007,52166470,1200000012555841,2023-04-17T11:32:36
NIFTYBEES,INF204KB14I2,2023-04-17,NSE,EQ,EQ,buy,false,762.000000,193.339996,52166471,1200000012555841,2023-04-17T11:32:36
MON100,INF247L01AP3,2023-05-09,NSE,EQ,EQ,buy,false,95.000000,105.150002,52084953,1200000009098079,2023-05-09T10:53:00
MON100,INF247L01AP3,2023-05-09,NSE,EQ,EQ,buy,false,181.000000,105.150002,52084951,1200000009098079,2023-05-09T10:53:00
MON100,INF247L01AP3,2023-05-09,NSE,EQ,EQ,buy,false,74.000000,105.150002,52084954,1200000009098079,2023-05-09T10:53:00
MON100,INF247L01AP3,2023-05-09,NSE,EQ,EQ,buy,false,650.000000,105.150002,52084952,1200000009098079,2023-05-09T10:53:00
JUNIORBEES,INF732E01045,2023-05-09,NSE,EQ,EQ,buy,false,90.000000,429.200012,52104462,1200000009188830,2023-05-09T10:54:24
JUNIORBEES,INF732E01045,2023-05-09,NSE,EQ,EQ,buy,false,121.000000,429.200012,52104464,1200000009188830,2023-05-09T10:54:24
JUNIORBEES,INF732E01045,2023-05-09,NSE,EQ,EQ,buy,false,11.000000,429.200012,52104463,1200000009188830,2023-05-09T10:54:24
NIFTYBEES,INF204KB14I2,2023-06-01,NSE,EQ,EQ,buy,false,511.000000,203.750000,52257918,1200000012382514,2023-06-01T11:50:46
NIFTYBEES,INF204KB14I2,2023-06-01,NSE,EQ,EQ,buy,false,64.000000,203.750000,52257919,1200000012382514,2023-06-01T11:50:46
MON100,INF247L01AP3,2023-06-01,BSE,EQ,E,buy,false,300.000000,114.190002,259100,1685591100045010378,2023-06-01T11:54:31
JUNIORBEES,INF732E01045,2023-06-01,NSE,EQ,EQ,buy,false,30.000000,447.510010,52300759,1200000012632848,2023-06-01T11:55:33
