symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
JUNIORBEES,INF732E01045,2022-09-27,NSE,EQ,EQ,buy,false,153.000000,449.390015,52942777,1200000022059793,2022-09-27T13:01:57
NIFTYBEES,INF204KB14I2,2022-09-27,NSE,EQ,EQ,buy,false,369.000000,186.789993,52944918,1200000022011159,2022-09-27T13:02:13
GOLDBEES,INF204KB17I5,2022-09-27,NSE,EQ,EQ,buy,false,541.000000,42.529999,28326926,1100000020267163,2022-09-27T13:03:20
MON100,INF247L01AP3,2022-09-27,NSE,EQ,EQ,buy,false,250.000000,91.989998,53033042,1200000022928986,2022-09-27T13:12:59
GOLDBEES,INF204KB17I5,2022-10-31,NSE,EQ,EQ,buy,false,532.000000,43.090000,29116929,1100000019113020,2022-10-31T14:38:36
NIFTYBEES,INF204KB14I2,2022-10-31,NSE,EQ,EQ,buy,false,58.000000,195.970001,53696914,1200000019589745,2022-10-31T14:38:36
NIFTYBEES,INF204KB14I2,2022-10-31,NSE,EQ,EQ,buy,false,298.000000,195.949997,53696913,1200000019589745,2022-10-31T14:38:36
JUNIORBEES,INF732E01045,2022-10-31,NSE,EQ,EQ,buy,false,154.000000,447.839996,53696963,1200000019589833,2022-10-31T14:38:36
MON100,INF247L01AP3,2022-10-31,NSE,EQ,EQ,buy,false,259.000000,92.480003,53696969,1200000019589919,2022-10-31T14:38:36
NIFTYBEES,INF204KB14I2,2022-10-31,NSE,EQ,EQ,buy,false,226.000000,196.000000,53709601,1200000019647734,2022-10-31T14:39:43
PAYTM,INE982J01020,2022-11-25,NSE,EQ,EQ,sell,false,6.000000,458.750000,53702354,1200000017905766,2022-11-25T14:30:24
NYKAA,INE388Y01029,2022-11-25,NSE,EQ,EQ,sell,false,18.000000,176.649994,53703637,1200000017911308,2022-11-25T14:30:32
TECHM,INE669C01036,2022-11-25,NSE,EQ,EQ,sell,false,3.000000,1073.199951,78566100,1300000016956915,2022-11-25T14:30:37
TCS,INE467B01029,2022-11-25,NSE,EQ,EQ,sell,false,1.000000,3383.350098,78567908,1300000016967847,2022-11-25T14:30:47
