symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-04-05,BSE,MF,,buy,false,191.354000,31.354000,221077124,221077124,2021-04-05T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-04-05,BSE,MF,,buy,false,578.496000,20.742400,221077121,221077121,2021-04-05T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-04-05,BSE,MF,,buy,false,829.513000,14.465600,221077123,221077123,2021-04-05T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-04-05,BSE,MF,,buy,false,307.191000,97.654300,221077120,221077120,2021-04-05T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-05-03,BSE,MF,,buy,false,187.682000,31.967400,231435238,231435238,2021-05-03T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-05-03,BSE,MF,,buy,false,548.732000,21.867500,231435235,231435235,2021-05-03T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-05-03,BSE,MF,,buy,false,801.477000,14.971600,231435237,231435237,2021-05-03T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-05-03,BSE,MF,,buy,false,307.179000,97.658000,231435234,231435234,2021-05-03T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-06-01,BSE,MF,,buy,false,174.666000,34.349500,242648222,242648222,2021-06-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-06-01,BSE,MF,,buy,false,567.981000,21.126400,242648219,242648219,2021-06-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-06-01,BSE,MF,,buy,false,762.084000,15.745500,242648221,242648221,2021-06-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-06-01,BSE,MF,,buy,false,288.170000,104.100000,242648218,242648218,2021-06-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-07-01,BSE,MF,,buy,false,170.308000,35.228500,255682227,255682227,2021-07-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-07-01,BSE,MF,,buy,false,522.108000,22.982600,255682224,255682224,2021-07-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-07-01,BSE,MF,,buy,false,799.384000,15.010800,255682226,255682226,2021-07-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-07-01,BSE,MF,,buy,false,285.607000,105.034300,255682223,255682223,2021-07-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-08-02,BSE,MF,,buy,false,165.547000,36.241700,269328584,269328584,2021-08-02T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-08-02,BSE,MF,,buy,false,506.963000,23.669200,269328581,269328581,2021-08-02T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-08-02,BSE,MF,,buy,false,785.306000,15.279900,269328583,269328583,2021-08-02T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-08-02,BSE,MF,,buy,false,281.479000,106.574500,269328580,269328580,2021-08-02T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-09-01,BSE,MF,,buy,false,156.984000,38.218500,283248469,283248469,2021-09-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-09-01,BSE,MF,,buy,false,496.146000,24.185200,283248467,283248467,2021-09-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-09-01,BSE,MF,,buy,false,797.249000,15.051000,283248468,283248468,2021-09-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-09-01,BSE,MF,,buy,false,261.802000,114.584900,283248466,283248466,2021-09-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-10-01,BSE,MF,,buy,false,154.711000,38.780000,298562496,298562496,2021-10-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-10-01,BSE,MF,,buy,false,521.622000,23.004000,298562296,298562296,2021-10-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-10-01,BSE,MF,,buy,false,810.486000,14.805200,298562495,298562495,2021-10-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-10-01,BSE,MF,,buy,false,254.926000,117.675500,298562295,298562295,2021-10-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-11-01,BSE,MF,,buy,false,154.327000,38.876500,314970093,314970093,2021-11-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-11-01,BSE,MF,,buy,false,479.049000,25.048400,314970090,314970090,2021-11-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-11-01,BSE,MF,,buy,false,790.975000,15.170400,314970092,314970092,2021-11-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-11-01,BSE,MF,,buy,false,249.008000,120.471800,314970089,314970089,2021-11-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-12-01,BSE,MF,,buy,false,156.370000,38.368500,331564767,331564767,2021-12-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-12-01,BSE,MF,,buy,false,465.254000,25.791100,331564764,331564764,2021-12-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-12-01,BSE,MF,,buy,false,791.987000,15.151000,331564766,331564766,2021-12-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-12-01,BSE,MF,,buy,false,259.960000,115.396500,331564763,331564763,2021-12-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-01-03,BSE,MF,,buy,false,154.209000,38.906400,349585840,349585840,2022-01-03T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-01-03,BSE,MF,,buy,false,467.753000,25.653300,349585837,349585837,2022-01-03T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2022-01-03,BSE,MF,,buy,false,782.995000,15.325000,349585839,349585839,2022-01-03T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2022-01-03,BSE,MF,,buy,false,253.184000,118.485000,349585836,349585836,2022-01-03T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-02-01,BSE,MF,,buy,false,156.965000,38.223200,367724473,367724473,2022-02-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-02-01,BSE,MF,,buy,false,510.135000,23.522000,366859910,366859910,2022-02-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2022-02-01,BSE,MF,,buy,false,784.977000,15.286300,367724472,367724472,2022-02-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2022-02-01,BSE,MF,,buy,false,253.856000,118.171100,367724470,367724470,2022-02-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-03-02,BSE,MF,,buy,false,163.710000,36.648400,386434704,386434704,2022-03-02T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-03-02,BSE,MF,,buy,false,535.212000,22.419900,385200378,385200378,2022-03-02T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2022-03-02,BSE,MF,,buy,false,736.801000,16.285800,386434703,386434703,2022-03-02T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2022-03-02,BSE,MF,,buy,false,268.293000,111.812400,386434701,386434701,2022-03-02T00:00:00
