symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-01-25,BSE,MF,,buy,false,3.313000,30.187000,198029193,198029193,2021-01-25T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-01-25,BSE,MF,,buy,false,23.978000,20.851300,198029180,198029180,2021-01-25T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-01-25,BSE,MF,,buy,false,318.273000,15.709000,198029190,198029190,2021-01-25T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-01-25,BSE,MF,,buy,false,52.723000,94.829700,198029173,198029173,2021-01-25T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-02-01,BSE,MF,,buy,false,197.259000,30.415300,199921589,199921589,2021-02-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-02-01,BSE,MF,,buy,false,580.531000,20.669700,199921586,199921586,2021-02-01T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-02-01,BSE,MF,,buy,false,777.702000,15.429300,199921588,199921588,2021-02-01T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-02-01,BSE,MF,,buy,false,307.505000,97.554400,199921585,199921585,2021-02-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-03-02,BSE,MF,,buy,false,187.031000,32.078600,210057768,210057768,2021-03-02T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-03-02,BSE,MF,,buy,false,584.758000,20.520300,210057766,210057766,2021-03-02T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2021-03-02,BSE,MF,,buy,false,823.869000,14.564700,210057767,210057767,2021-03-02T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2021-03-02,BSE,MF,,buy,false,301.515000,99.492700,210057765,210057765,2021-03-02T00:00:00
