symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2020-08-11,BSE,EQ,A,buy,false,1.000000,2111.750000,7815600,1597116600028291110,2020-08-11T11:33:07
HINDUNILVR,INE030A01027,2020-08-12,BSE,EQ,A,buy,false,1.000000,2194.149902,2191800,1597203000081206165,2020-08-12T10:52:42
HDFC,INE001A01036,2020-08-14,BSE,EQ,A,buy,false,1.000000,1795.099976,9437300,1597390898185311471,2020-08-14T14:10:46
HINDUNILVR,INE030A01027,2020-08-21,NSE,EQ,EQ,buy,false,1.000000,2199.850098,27041044,1100000005437626,2020-08-21T11:52:52
RELIANCEPP,IN9002A01024,2020-08-21,NSE,EQ,E1,buy,false,1.000000,1210.849976,77401256,1300000006790429,2020-08-21T11:53:18
HDFC,INE001A01036,2020-08-21,NSE,EQ,EQ,buy,false,1.000000,1819.500000,27049986,1100000005454705,2020-08-21T11:53:33
RELIANCEPP,IN9002A01024,2020-08-24,NSE,EQ,E1,buy,false,1.000000,1185.000000,76832540,1300000005004187,2020-08-24T11:02:22
HINDUNILVR,INE030A01027,2020-08-24,BSE,EQ,A,buy,false,1.000000,2196.949951,4601300,1598239800024291012,2020-08-24T11:02:33
N100,INF247L01031,2020-08-24,BSE,EQ,E,buy,false,1.000000,855.500000,17900,1598240700109002103,2020-08-24T13:07:21
HDFC,INE001A01036,2020-08-25,NSE,EQ,EQ,buy,false,1.000000,1825.250000,28339261,1100000009109605,2020-08-25T13:52:05
HINDUNILVR,INE030A01027,2020-08-31,BSE,EQ,A,buy,false,1.000000,2157.250000,1148500,1598844600002079614,2020-08-31T09:33:36
RELIANCE,INE002A01018,2020-08-31,NSE,EQ,EQ,buy,false,1.000000,2083.500000,81037993,1300000018312337,2020-08-31T15:15:08
HDFC,INE001A01036,2020-08-31,NSE,EQ,EQ,buy,false,1.000000,1843.849976,32087015,1100000018749374,2020-08-31T15:20:21
RELIANCEPP,IN9002A01024,2020-09-04,NSE,EQ,E1,buy,false,2.000000,1198.300049,75952482,1300000003543256,2020-09-04T10:08:59
HDFC,INE001A01036,2020-09-04,NSE,EQ,EQ,buy,false,1.000000,1774.300049,26380326,1100000004245904,2020-09-04T10:09:14
N100,INF247L01031,2020-09-04,NSE,EQ,EQ,buy,false,1.000000,849.900024,51736529,1200000007253326,2020-09-04T12:53:58
HDFC,INE001A01036,2020-09-08,NSE,EQ,EQ,buy,false,1.000000,1787.900024,27247325,1100000006553753,2020-09-08T12:21:25
N100,INF247L01031,2020-09-08,NSE,EQ,EQ,buy,false,1.000000,839.000000,51546642,1200000006236763,2020-09-08T12:21:47
N100,INF247L01031,2020-09-09,NSE,EQ,EQ,buy,false,2.000000,800.500000,50726865,1200000002776571,2020-09-09T10:01:10
BHARTIARTL,INE397D01024,2020-09-14,NSE,EQ,EQ,buy,false,1.000000,484.100006,3183908,1000000010515204,2020-09-14T13:02:17
BHARTIARTL,INE397D01024,2020-09-14,NSE,EQ,EQ,buy,false,2.000000,484.100006,3183909,1000000010515204,2020-09-14T13:02:17
HDFC,INE001A01036,2020-09-15,NSE,EQ,EQ,buy,false,1.000000,1760.650024,27597783,1100000007408356,2020-09-15T13:10:51
HINDUNILVR,INE030A01027,2020-09-15,NSE,EQ,EQ,buy,false,1.000000,2121.500000,27600401,1100000007416158,2020-09-15T13:11:05
RELIANCE,INE002A01018,2020-09-17,NSE,EQ,EQ,sell,false,1.000000,2300.000000,78450412,1300000010759498,2020-09-17T14:59:42
HDFC,INE001A01036,2020-09-17,NSE,EQ,EQ,buy,false,2.000000,1738.000000,29387743,1100000010419627,2020-09-17T15:00:24
RELIANCEPP,IN9002A01024,2020-09-22,BSE,EQ,A,buy,false,1.000000,1335.800049,1954700,1600745400065148297,2020-09-22T09:38:34
HINDUNILVR,INE030A01027,2020-09-22,BSE,EQ,A,buy,false,1.000000,2025.750000,1722800,1600745400026170585,2020-09-22T09:38:47
HDFC,INE001A01036,2020-09-22,BSE,EQ,A,buy,false,1.000000,1696.449951,1780200,1600745400067403936,2020-09-22T09:38:52
BHARTIARTL,INE397D01024,2020-09-22,NSE,EQ,EQ,buy,false,1.000000,466.100006,869730,1000000003280047,2020-09-22T09:40:58
BHARTIARTL,INE397D01024,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,435.799988,2525466,1000000010933108,2020-09-23T12:53:07
HINDUNILVR,INE030A01027,2020-09-29,NSE,EQ,EQ,buy,false,1.000000,2046.349976,28514716,1100000010132386,2020-09-29T14:54:44
RELIANCE,INE002A01018,2020-09-30,NSE,EQ,EQ,sell,false,1.000000,2251.850098,77320325,1300000008967418,2020-09-30T13:15:00
RELIANCEPP,IN9002A01024,2020-09-30,BSE,EQ,A,buy,false,2.000000,1358.949951,3231000,1601435721260519868,2020-09-30T13:15:11
RELIANCEPP,IN9002A01024,2020-10-01,BSE,EQ,A,buy,false,1.000000,1330.000000,6255300,1601523000049451960,2020-10-01T14:49:23
HDFC,INE001A01036,2020-10-06,NSE,EQ,EQ,sell,false,5.000000,1905.000000,27585038,1100000005114371,2020-10-06T13:16:40
ITC,INE154A01025,2020-10-06,NSE,EQ,EQ,buy,false,25.000000,169.899994,28648146,1100000011219827,2020-10-06T15:06:30
N100,INF247L01031,2020-10-07,NSE,EQ,EQ,buy,false,1.000000,818.880005,50749971,1200000003381385,2020-10-07T10:22:29
RELIANCEPP,IN9002A01024,2020-10-08,BSE,EQ,A,sell,false,5.000000,1360.900024,1301800,1602127800008133064,2020-10-08T09:50:48
RELIANCEPP,IN9002A01024,2020-10-08,BSE,EQ,A,sell,false,3.000000,1360.250000,1302000,1602127800008133064,2020-10-08T09:50:48
DIVISLAB,INE361B01024,2020-10-13,NSE,EQ,EQ,buy,false,1.000000,3176.550049,2603417,1000000010902909,2020-10-13T13:43:28
DABUR,INE016A01026,2020-10-14,NSE,EQ,EQ,buy,false,5.000000,509.299988,1010965,1000000004865251,2020-10-14T10:31:49
BHARTIARTL,INE397D01024,2020-10-15,BSE,EQ,A,buy,false,5.000000,397.950012,7356400,1602731708479903795,2020-10-15T14:00:48
RELIANCEPP,IN9002A01024,2020-10-15,NSE,EQ,E1,buy,false,5.000000,1330.000000,77856687,1300000008508399,2020-10-15T14:05:05
RELIANCEPP,IN9002A01024,2020-10-15,NSE,EQ,E1,buy,false,5.000000,1318.300049,77975166,1300000011517987,2020-10-15T14:12:58
ITC,INE154A01025,2020-10-15,BSE,EQ,A,buy,false,20.000000,165.949997,5390900,1602731708512516087,2020-10-15T14:24:27
CGPOWER,INE067A01029,2020-10-16,BSE,EQ,B,buy,false,50.000000,22.900000,4139800,1602819000000455701,2020-10-16T11:06:12
RELIANCEPP,IN9002A01024,2020-10-20,NSE,EQ,E1,buy,false,2.000000,1280.699951,76508510,1300000005962475,2020-10-20T11:36:29
DABUR,INE016A01026,2020-10-21,BSE,EQ,A,buy,false,5.000000,525.250000,913200,1603251000058174174,2020-10-21T09:33:51
RELIANCEPP,IN9002A01024,2020-10-22,BSE,EQ,A,buy,false,2.000000,1219.949951,1651200,1603337400032170873,2020-10-22T10:42:40
CENTURYTEX,INE055A01016,2020-10-27,NSE,EQ,EQ,buy,false,5.000000,310.299988,1939132,1020000007094980,2020-10-27T11:23:58
HDFC,INE001A01036,2020-10-28,NSE,EQ,EQ,buy,false,1.000000,2000.000000,25951892,1100000002933165,2020-10-28T10:24:46
HDFC,INE001A01036,2020-10-29,NSE,EQ,EQ,buy,false,1.000000,1956.650024,25671182,1100000003022340,2020-10-29T09:56:11
