symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2024-04-01,BSE,EQ,B,sell,false,606.000000,248.800003,2612700,1711943100022662462,2024-04-01T10:41:23
NIFTYBEES,INF204KB14I2,2024-04-01,BSE,EQ,B,sell,false,351.000000,248.690002,2612900,1711943100022662462,2024-04-01T10:41:23
NIFTYBEES,INF204KB14I2,2024-04-01,BSE,EQ,B,sell,false,1258.000000,248.679993,2613200,1711943100022662462,2024-04-01T10:41:23
NIFTYBEES,INF204KB14I2,2024-04-01,NSE,EQ,EQ,sell,false,15.000000,248.949997,42824531,1200000015534068,2024-04-01T10:42:02
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,67.000000,199.070007,515500,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,100.000000,199.330002,514800,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,1.000000,199.380005,514600,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,1016.000000,199.479996,514400,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,1252.000000,198.970001,515700,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,1029.000000,199.320007,515100,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,2049.000000,198.820007,515900,1733975100023037143,2024-12-12T10:55:09
MON100,INF247L01AP3,2024-12-12,BSE,EQ,E,sell,false,343.000000,199.279999,515300,1733975100023037143,2024-12-12T10:55:09
