symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY22JUL16750CE,,2022-07-27,NSE,FO,,sell,false,50.000000,5.800000,649122,1000000005497174,2022-07-27T09:29:54,2022-07-28
NIFTY22JUL16200PE,,2022-07-27,NSE,FO,,sell,false,50.000000,15.250000,91687971,1100000006108184,2022-07-27T09:29:55,2022-07-28
NIFTY22JUL16750CE,,2022-07-27,NSE,FO,,buy,false,50.000000,25.300000,4617435,1000000057647514,2022-07-27T13:19:32,2022-07-28
NIFTY22JUL16200PE,,2022-07-27,NSE,FO,,buy,false,50.000000,6.850000,95746156,1100000062475833,2022-07-27T13:53:08,2022-07-28
NIFTY22D0819100CE,,2022-11-30,NSE,FO,,sell,false,50.000000,10.650000,172292707,1200000010266226,2022-11-30T11:14:34,2022-12-08
NIFTY22D1519000CE,,2022-12-08,NSE,FO,,sell,false,50.000000,16.250000,172815157,1200000016404236,2022-12-08T11:32:27,2022-12-15
NIFTY22D1519000CE,,2022-12-09,NSE,FO,,buy,false,50.000000,5.500000,4507876,1000000057761868,2022-12-09T13:57:09,2022-12-15
NIFTY22D1518750CE,,2022-12-12,NSE,FO,,sell,false,50.000000,22.550000,2437365,1000000024236369,2022-12-12T10:03:42,2022-12-15
NIFTY22D1518750CE,,2022-12-14,NSE,FO,,buy,false,50.000000,40.250000,1160716,1000000009965999,2022-12-14T09:34:34,2022-12-15
NIFTY22D1519000CE,,2022-12-14,NSE,FO,,sell,false,50.000000,3.000000,1256740,1000000010620021,2022-12-14T09:36:57,2022-12-15
NIFTY22D2218800CE,,2022-12-16,NSE,FO,,sell,false,50.000000,8.400000,1659968,1000000020651488,2022-12-16T09:59:47,2022-12-22
NIFTY22DEC18400CE,,2022-12-23,NSE,FO,,sell,false,50.000000,12.450000,4688968,1000000076948159,2022-12-23T12:57:10,2022-12-29
NIFTY22DEC18400CE,,2022-12-28,NSE,FO,,buy,false,50.000000,3.750000,500578,1000000004643924,2022-12-28T09:22:14,2022-12-29
NIFTY22DEC18300CE,,2022-12-29,NSE,FO,,sell,false,50.000000,1.200000,3385816,1000000027203074,2022-12-29T10:19:09,2022-12-29
NIFTY2310518500CE,,2022-12-29,NSE,FO,,sell,false,50.000000,10.500000,172477582,1200000008106920,2022-12-29T10:20:14,2023-01-05
NIFTY2310518500CE,,2023-01-03,NSE,FO,,buy,false,50.000000,6.700000,6520686,1000000083498744,2023-01-03T15:12:20,2023-01-05
NIFTY2310518200CE,,2023-01-04,NSE,FO,,sell,false,50.000000,33.450000,4118095,1000000037547688,2023-01-04T11:07:47,2023-01-05
NIFTY2310518200CE,,2023-01-04,NSE,FO,,buy,false,50.000000,16.050000,9451733,1000000097007126,2023-01-04T14:47:09,2023-01-05
NIFTY2310518200CE,,2023-01-05,NSE,FO,,sell,false,100.000000,7.350000,5834607,1000000049461128,2023-01-05T10:40:30,2023-01-05
NIFTY2311218300CE,,2023-01-06,NSE,FO,,sell,false,50.000000,28.600000,1071305,1000000011675982,2023-01-06T09:36:59,2023-01-12
NIFTY2311218300CE,,2023-01-06,NSE,FO,,buy,false,50.000000,20.400000,1641613,1000000020645636,2023-01-06T09:58:39,2023-01-12
NIFTY2311218300CE,,2023-01-06,NSE,FO,,sell,false,50.000000,13.450000,3947063,1000000059905734,2023-01-06T12:32:57,2023-01-12
NIFTY2311218300CE,,2023-01-09,NSE,FO,,buy,false,50.000000,18.700000,1566264,1000000016049692,2023-01-09T09:44:42,2023-01-12
FINNIFTY2311018700CE,,2023-01-10,NSE,FO,,sell,false,40.000000,6.150000,786945891,1900000129219598,2023-01-10T12:14:03,2023-01-10
NIFTY2311218200CE,,2023-01-10,NSE,FO,,sell,false,50.000000,13.250000,7004541,1000000095133051,2023-01-10T14:59:58,2023-01-12
NIFTY2311218100CE,,2023-01-11,NSE,FO,,sell,false,50.000000,17.400000,7262314,1000000078017813,2023-01-11T12:37:26,2023-01-12
NIFTY2311918200CE,,2023-01-13,NSE,FO,,sell,false,50.000000,21.150000,601338,1000000007069602,2023-01-13T09:27:54,2023-01-19
NIFTY2311918200CE,,2023-01-13,NSE,FO,,buy,false,50.000000,39.400000,4948669,1000000074311917,2023-01-13T13:19:39,2023-01-19
NIFTY2320217750CE,,2023-02-02,NSE,FO,,sell,false,50.000000,14.700000,5042303,1000000048915957,2023-02-02T10:16:59,2023-02-02
NIFTY23FEB17850CE,,2023-02-03,NSE,FO,,sell,false,50.000000,164.400000,775885898,1900000060426991,2023-02-03T11:51:12,2023-02-23
NIFTY23FEB17850CE,,2023-02-03,NSE,FO,,buy,false,50.000000,159.550000,775969600,1900000063889357,2023-02-03T12:00:38,2023-02-23
NIFTY2320917850CE,,2023-02-03,NSE,FO,,sell,false,50.000000,52.550000,3719006,1000000055066036,2023-02-03T12:01:13,2023-02-09
NIFTY2320917850CE,,2023-02-03,NSE,FO,,buy,false,50.000000,120.900000,6505767,1000000096964154,2023-02-03T14:31:17,2023-02-09
NIFTY2320918100CE,,2023-02-06,NSE,FO,,sell,false,50.000000,13.000000,5094889,1000000075885322,2023-02-06T13:56:19,2023-02-09
NIFTY2320917850CE,,2023-02-07,NSE,FO,,sell,false,50.000000,42.500000,3662369,1000000046451667,2023-02-07T12:28:43,2023-02-09
NIFTY2320917850CE,,2023-02-07,NSE,FO,,buy,false,50.000000,32.900000,4375073,1000000055707011,2023-02-07T13:04:15,2023-02-09
NIFTY2320917750CE,,2023-02-07,NSE,FO,,sell,false,50.000000,62.050000,4386344,1000000055822845,2023-02-07T13:04:46,2023-02-09
NIFTY2320917750CE,,2023-02-07,NSE,FO,,buy,false,50.000000,69.100000,4786702,1000000061220459,2023-02-07T13:27:55,2023-02-09
NIFTY2320918100CE,,2023-02-08,NSE,FO,,buy,false,50.000000,7.000000,5841669,1000000057445491,2023-02-08T11:59:53,2023-02-09
NIFTY2320917700PE,,2023-02-08,NSE,FO,,sell,false,50.000000,17.000000,92767351,1100000080320995,2023-02-08T13:35:31,2023-02-09
NIFTY2321617900CE,,2023-02-13,NSE,FO,,sell,false,50.000000,41.250000,1929265,1000000022876094,2023-02-13T10:18:38,2023-02-16
NIFTY2321617900CE,,2023-02-13,NSE,FO,,buy,false,50.000000,38.550000,5624101,1000000076401244,2023-02-13T15:14:13,2023-02-16
