symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-04-04,BSE,MF,,buy,false,101.119000,182.944300,406886415,406886415,2022-04-04T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-04-04,BSE,MF,,buy,false,475.610000,38.895500,406886416,406886416,2022-04-04T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-05-02,BSE,MF,,buy,false,106.908000,173.037500,425750103,425750103,2022-05-02T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-05-02,BSE,MF,,buy,false,475.919000,38.870200,425750104,425750104,2022-05-02T00:00:00
KOTAK NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF174KA1FQ7,2022-05-04,BSE,MF,,buy,false,1849.853000,10.000300,427000084,427000084,2022-05-04T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-05-04,BSE,MF,,buy,false,10.040000,1195.188000,426948307,426948307,2022-05-04T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-05-13,BSE,MF,,buy,false,98.705000,1195.420900,435055418,435055418,2022-05-13T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-05-23,BSE,MF,,buy,false,58.481000,1196.912700,440806931,440806931,2022-05-23T00:00:00
KOTAK NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF174KA1FQ7,2022-05-31,BSE,MF,,buy,false,1835.117000,10.080600,444255441,444255441,2022-05-31T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-06-01,BSE,MF,,buy,false,110.032000,168.123800,445683758,445683758,2022-06-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-06-01,BSE,MF,,buy,false,522.189000,35.426000,445683759,445683759,2022-06-01T00:00:00
IDFC BANKING & PSU DEBT FUND - DIRECT PLAN,INF194K015G8,2022-06-01,BSE,MF,,sell,false,2719.752000,20.341600,445811753,445811753,2022-06-01T00:00:00
IDFC G - SEC FUND - INVESTMENT PLAN - DIRECT PLAN,INF194K01Q29,2022-06-01,BSE,MF,,sell,false,1828.805000,29.706300,445811756,445811756,2022-06-01T00:00:00
KOTAK FLEXICAP FUND - DIRECT PLAN,INF174K01LS2,2022-06-01,BSE,MF,,sell,false,90.305000,53.741000,445811763,445811763,2022-06-01T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-06-02,BSE,MF,,buy,false,95.547000,1198.300400,446344860,446344860,2022-06-02T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-06-14,BSE,MF,,buy,false,93.666000,160.135400,455001776,455001776,2022-06-14T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-06-14,BSE,MF,,buy,false,442.231000,33.917200,454984212,454984212,2022-06-14T00:00:00
KOTAK NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF174KA1FQ7,2022-06-14,BSE,MF,,buy,false,1676.924000,8.944500,454984226,454984226,2022-06-14T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-08-12,BSE,MF,,buy,false,48.790000,1209.214200,492196439,492196439,2022-08-12T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-09-08,BSE,MF,,buy,false,14.828000,1213.845300,508481667,508481667,2022-09-08T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-09-13,BSE,MF,,buy,false,6.339000,1214.694700,512740655,512740655,2022-09-13T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-09-28,BSE,MF,,sell,false,66.000000,1216.866300,521802862,521802862,2022-09-28T00:00:00
