symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
IDFC BANKING & PSU DEBT FUND - DIRECT PLAN,INF194K015G8,2021-04-28,BSE,MF,,buy,false,2542.513000,19.664600,230042986,230042986,2021-04-28T00:00:00
IDFC G - SEC FUND - INVESTMENT PLAN - DIRECT PLAN,INF194K01Q29,2021-04-28,BSE,MF,,buy,false,1710.070000,29.237100,230042832,230042832,2021-04-28T00:00:00
IDFC BANKING & PSU DEBT FUND - DIRECT PLAN,INF194K015G8,2021-05-25,BSE,MF,,buy,false,177.239000,19.746400,240496719,240496719,2021-05-25T00:00:00
IDFC G - SEC FUND - INVESTMENT PLAN - DIRECT PLAN,INF194K01Q29,2021-05-25,BSE,MF,,buy,false,118.735000,29.476000,240490163,240490163,2021-05-25T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-06-14,BSE,MF,,buy,false,0.628000,159.358700,248805907,248805907,2021-06-14T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-06-14,BSE,MF,,buy,false,2.805000,35.649100,248805915,248805915,2021-06-14T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-06-14,BSE,MF,,buy,false,23.021000,21.718200,248805918,248805918,2021-06-14T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-07-01,BSE,MF,,buy,false,98.637000,158.147200,255738547,255738547,2021-07-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-07-05,BSE,MF,,buy,false,458.274000,35.348300,257640347,257640347,2021-07-05T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-07-05,BSE,MF,,buy,false,1021.193000,23.207000,257640348,257640348,2021-07-05T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-08-02,BSE,MF,,buy,false,97.203000,160.480300,269388465,269388465,2021-08-02T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-08-02,BSE,MF,,buy,false,446.977000,36.241700,269388466,269388466,2021-08-02T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-08-02,BSE,MF,,buy,false,1001.251000,23.669200,269388467,269388467,2021-08-02T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-09-01,BSE,MF,,buy,false,90.404000,172.550100,283309784,283309784,2021-09-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-09-01,BSE,MF,,buy,false,423.857000,38.218500,283346754,283346754,2021-09-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-09-01,BSE,MF,,buy,false,979.889000,24.185200,283346755,283346755,2021-09-01T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-10-01,BSE,MF,,buy,false,88.041000,177.181200,298590417,298590417,2021-10-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-10-01,BSE,MF,,buy,false,417.720000,38.780000,298590418,298590418,2021-10-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-10-01,BSE,MF,,buy,false,1030.204000,23.004000,298590419,298590419,2021-10-01T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-11-01,BSE,MF,,buy,false,86.010000,181.365900,314970028,314970028,2021-11-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-11-01,BSE,MF,,buy,false,416.683000,38.876500,314970029,314970029,2021-11-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-11-01,BSE,MF,,buy,false,946.121000,25.048400,314970030,314970030,2021-11-01T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2021-12-01,BSE,MF,,buy,false,89.787000,173.736100,331580454,331580454,2021-12-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2021-12-01,BSE,MF,,buy,false,422.200000,38.368500,331580455,331580455,2021-12-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2021-12-01,BSE,MF,,buy,false,918.876000,25.791100,331580456,331580456,2021-12-01T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-01-03,BSE,MF,,buy,false,87.411000,178.459000,349644847,349644847,2022-01-03T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-01-03,BSE,MF,,buy,false,416.363000,38.906400,349644848,349644848,2022-01-03T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-01-03,BSE,MF,,buy,false,923.812000,25.653300,349633479,349633479,2022-01-03T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-02-01,BSE,MF,,buy,false,87.637000,177.999100,367727167,367727167,2022-02-01T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-02-01,BSE,MF,,buy,false,423.805000,38.223200,367727168,367727168,2022-02-01T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-02-01,BSE,MF,,buy,false,1007.517000,23.522000,366643650,366643650,2022-02-01T00:00:00
ICICI PRUDENTIAL NIFTY INDEX FUND - DIRECT PLAN,INF109K012M7,2022-03-02,BSE,MF,,buy,false,92.649000,168.369300,386416463,386416463,2022-03-02T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-03-02,BSE,MF,,buy,false,442.016000,36.648400,386416464,386416464,2022-03-02T00:00:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,INF247L01718,2022-03-02,BSE,MF,,buy,false,1057.044000,22.419900,385160079,385160079,2022-03-02T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2022-03-11,BSE,MF,,buy,false,420.510000,1188.972600,393933246,393933246,2022-03-11T00:00:00
KOTAK FLEXICAP FUND - DIRECT PLAN,INF174K01LS2,2022-03-21,BSE,MF,,buy,false,90.305000,55.365000,399741403,399741403,2022-03-21T00:00:00
